# baseband_freq_hz,power_dbfs_per_hz
-426635.7,-87.629
-426513.7,-88.047
-426391.6,-88.224
-426269.5,-88.089
-426147.5,-88.205
-426025.4,-88.384
-425903.3,-88.612
-425781.2,-88.517
-425659.2,-88.247
-425537.1,-88.213
-425415.0,-88.258
-425293.0,-88.094
-425170.9,-88.195
-425048.8,-88.447
-424926.8,-88.436
-424804.7,-88.020
-424682.6,-87.752
-424560.5,-87.560
-424438.5,-87.686
-424316.4,-87.566
-424194.3,-87.334
-424072.3,-87.389
-423950.2,-87.487
-423828.1,-87.275
-423706.1,-87.218
-423584.0,-87.548
-423461.9,-87.819
-423339.8,-87.552
-423217.8,-87.218
-423095.7,-86.845
-422973.6,-86.641
-422851.6,-86.859
-422729.5,-87.335
-422607.4,-87.618
-422485.4,-87.773
-422363.3,-87.926
-422241.2,-87.953
-422119.1,-88.478
-421997.1,-88.333
-421875.0,-88.112
-421752.9,-87.524
-421630.9,-87.572
-421508.8,-87.716
-421386.7,-87.530
-421264.6,-87.088
-421142.6,-86.992
-421020.5,-87.361
-420898.4,-87.630
-420776.4,-87.488
-420654.3,-87.628
-420532.2,-87.421
-420410.2,-87.118
-420288.1,-87.191
-420166.0,-87.191
-420043.9,-87.258
-419921.9,-87.035
-419799.8,-86.701
-419677.7,-86.866
-419555.7,-87.205
-419433.6,-88.079
-419311.5,-88.051
-419189.5,-87.553
-419067.4,-87.255
-418945.3,-87.074
-418823.2,-86.858
-418701.2,-86.166
-418579.1,-85.758
-418457.0,-85.929
-418335.0,-86.253
-418212.9,-86.391
-418090.8,-86.722
-417968.8,-86.752
-417846.7,-86.442
-417724.6,-85.788
-417602.5,-85.684
-417480.5,-86.089
-417358.4,-86.719
-417236.3,-86.772
-417114.3,-87.087
-416992.2,-87.056
-416870.1,-86.828
-416748.0,-86.733
-416626.0,-86.384
-416503.9,-85.974
-416381.8,-86.072
-416259.8,-86.063
-416137.7,-86.261
-416015.6,-86.560
-415893.6,-86.378
-415771.5,-86.520
-415649.4,-86.388
-415527.3,-86.228
-415405.3,-86.363
-415283.2,-86.181
-415161.1,-86.165
-415039.1,-85.995
-414917.0,-85.160
-414794.9,-85.074
-414672.9,-85.157
-414550.8,-85.624
-414428.7,-86.070
-414306.6,-86.087
-414184.6,-86.162
-414062.5,-86.244
-413940.4,-86.159
-413818.4,-86.076
-413696.3,-85.795
-413574.2,-85.168
-413452.1,-84.676
-413330.1,-84.965
-413208.0,-85.651
-413085.9,-85.983
-412963.9,-86.026
-412841.8,-86.420
-412719.7,-86.294
-412597.7,-86.018
-412475.6,-86.098
-412353.5,-86.010
-412231.4,-84.938
-412109.4,-84.469
-411987.3,-84.843
-411865.2,-85.448
-411743.2,-85.588
-411621.1,-85.011
-411499.0,-84.768
-411377.0,-84.735
-411254.9,-85.039
-411132.8,-85.075
-411010.7,-85.034
-410888.7,-85.070
-410766.6,-85.155
-410644.5,-85.198
-410522.5,-85.122
-410400.4,-84.908
-410278.3,-85.152
-410156.2,-85.407
-410034.2,-85.329
-409912.1,-85.543
-409790.0,-85.671
-409668.0,-85.796
-409545.9,-85.440
-409423.8,-85.398
-409301.8,-85.152
-409179.7,-85.024
-409057.6,-85.116
-408935.5,-85.268
-408813.5,-85.015
-408691.4,-85.216
-408569.3,-85.083
-408447.3,-84.735
-408325.2,-85.279
-408203.1,-85.917
-408081.1,-85.736
-407959.0,-85.550
-407836.9,-85.525
-407714.8,-85.108
-407592.8,-84.901
-407470.7,-84.885
-407348.6,-84.849
-407226.6,-84.457
-407104.5,-84.274
-406982.4,-84.292
-406860.4,-84.183
-406738.3,-84.512
-406616.2,-84.976
-406494.1,-85.005
-406372.1,-84.731
-406250.0,-84.552
-406127.9,-84.742
-406005.9,-85.008
-405883.8,-84.921
-405761.7,-84.710
-405639.6,-85.018
-405517.6,-85.326
-405395.5,-84.707
-405273.4,-83.831
-405151.4,-83.846
-405029.3,-84.031
-404907.2,-84.421
-404785.2,-84.593
-404663.1,-84.439
-404541.0,-84.308
-404418.9,-84.142
-404296.9,-83.867
-404174.8,-83.821
-404052.7,-83.918
-403930.7,-83.698
-403808.6,-83.391
-403686.5,-83.156
-403564.5,-82.883
-403442.4,-83.267
-403320.3,-83.497
-403198.2,-83.623
-403076.2,-83.622
-402954.1,-83.591
-402832.0,-83.360
-402710.0,-83.407
-402587.9,-83.273
-402465.8,-83.167
-402343.8,-82.754
-402221.7,-82.891
-402099.6,-83.221
-401977.5,-83.287
-401855.5,-83.076
-401733.4,-82.874
-401611.3,-82.535
-401489.3,-82.391
-401367.2,-82.717
-401245.1,-82.915
-401123.0,-83.187
-401001.0,-83.047
-400878.9,-82.855
-400756.8,-82.574
-400634.8,-82.654
-400512.7,-83.059
-400390.6,-83.253
-400268.6,-82.949
-400146.5,-82.748
-400024.4,-83.002
-399902.3,-83.501
-399780.3,-84.017
-399658.2,-84.013
-399536.1,-83.983
-399414.1,-83.777
-399292.0,-83.949
-399169.9,-83.932
-399047.9,-83.764
-398925.8,-83.707
-398803.7,-83.761
-398681.6,-84.033
-398559.6,-83.710
-398437.5,-83.504
-398315.4,-83.590
-398193.4,-83.219
-398071.3,-83.180
-397949.2,-82.760
-397827.1,-83.008
-397705.1,-83.270
-397583.0,-83.268
-397460.9,-83.328
-397338.9,-83.447
-397216.8,-83.448
-397094.7,-82.990
-396972.7,-82.964
-396850.6,-82.947
-396728.5,-82.915
-396606.4,-82.788
-396484.4,-82.746
-396362.3,-82.730
-396240.2,-82.520
-396118.2,-82.405
-395996.1,-82.394
-395874.0,-82.377
-395752.0,-82.729
-395629.9,-83.487
-395507.8,-83.671
-395385.7,-83.320
-395263.7,-83.415
-395141.6,-83.547
-395019.5,-83.546
-394897.5,-83.174
-394775.4,-83.207
-394653.3,-83.543
-394531.2,-83.296
-394409.2,-83.019
-394287.1,-83.317
-394165.0,-83.566
-394043.0,-83.364
-393920.9,-83.013
-393798.8,-82.894
-393676.8,-83.330
-393554.7,-83.815
-393432.6,-83.727
-393310.5,-83.278
-393188.5,-83.306
-393066.4,-83.980
-392944.3,-83.905
-392822.3,-83.819
-392700.2,-83.810
-392578.1,-83.800
-392456.1,-83.799
-392334.0,-83.170
-392211.9,-82.822
-392089.8,-82.873
-391967.8,-82.880
-391845.7,-83.137
-391723.6,-83.777
-391601.6,-83.738
-391479.5,-82.916
-391357.4,-82.941
-391235.4,-82.783
-391113.3,-82.640
-390991.2,-82.360
-390869.1,-82.299
-390747.1,-82.380
-390625.0,-82.701
-390502.9,-83.392
-390380.9,-83.344
-390258.8,-83.145
-390136.7,-82.956
-390014.6,-82.739
-389892.6,-82.296
-389770.5,-82.071
-389648.4,-82.243
-389526.4,-82.330
-389404.3,-82.572
-389282.2,-82.401
-389160.2,-82.193
-389038.1,-82.164
-388916.0,-82.190
-388793.9,-82.257
-388671.9,-82.244
-388549.8,-82.207
-388427.7,-82.185
-388305.7,-82.200
-388183.6,-82.784
-388061.5,-83.027
-387939.5,-83.452
-387817.4,-83.825
-387695.3,-83.119
-387573.2,-81.845
-387451.2,-81.606
-387329.1,-81.831
-387207.0,-81.810
-387085.0,-81.963
-386962.9,-82.280
-386840.8,-82.559
-386718.8,-82.701
-386596.7,-82.474
-386474.6,-82.244
-386352.5,-82.140
-386230.5,-82.065
-386108.4,-82.180
-385986.3,-82.095
-385864.3,-82.325
-385742.2,-82.275
-385620.1,-82.121
-385498.0,-82.219
-385376.0,-82.083
-385253.9,-81.994
-385131.8,-81.935
-385009.8,-81.781
-384887.7,-81.611
-384765.6,-81.490
