# baseband_freq_hz,power_dbfs_per_hz
-417236.3,-72.503
-417114.3,-71.405
-416992.2,-79.238
-416870.1,-81.171
-416748.0,-70.219
-416626.0,-69.108
-416503.9,-78.660
-416381.8,-80.870
-416259.8,-71.485
-416137.7,-71.127
-416015.6,-79.462
-415893.6,-77.966
-415771.5,-69.932
-415649.4,-70.893
-415527.3,-79.034
-415405.3,-75.735
-415283.2,-73.639
-415161.1,-76.760
-415039.1,-81.599
-414917.0,-77.798
-414794.9,-74.324
-414672.9,-77.280
-414550.8,-80.646
-414428.7,-77.587
-414306.6,-72.712
-414184.6,-76.128
-414062.5,-81.023
-413940.4,-75.152
-413818.4,-70.078
-413696.3,-74.590
-413574.2,-79.125
-413452.1,-72.850
-413330.1,-69.101
-413208.0,-75.063
-413085.9,-80.903
-412963.9,-73.425
-412841.8,-70.763
-412719.7,-76.685
-412597.7,-79.551
-412475.6,-74.185
-412353.5,-71.961
-412231.4,-78.279
-412109.4,-80.656
-411987.3,-71.929
-411865.2,-70.204
-411743.2,-77.704
-411621.1,-78.462
-411499.0,-69.605
-411377.0,-68.846
-411254.9,-78.257
-411132.8,-77.789
-411010.7,-71.967
-410888.7,-73.546
-410766.6,-78.636
-410644.5,-77.695
-410522.5,-70.345
-410400.4,-71.576
-410278.3,-78.045
-410156.2,-77.593
-410034.2,-73.862
-409912.1,-75.568
-409790.0,-77.980
-409668.0,-73.784
-409545.9,-67.736
-409423.8,-70.471
-409301.8,-80.754
-409179.7,-73.637
-409057.6,-69.155
-408935.5,-73.723
-408813.5,-79.668
-408691.4,-74.023
-408569.3,-71.083
-408447.3,-76.723
-408325.2,-77.315
-408203.1,-74.021
-408081.1,-72.393
-407959.0,-78.469
-407836.9,-79.485
-407714.8,-70.398
-407592.8,-67.022
-407470.7,-73.384
-407348.6,-76.680
-407226.6,-68.285
-407104.5,-65.573
-406982.4,-73.319
-406860.4,-78.310
-406738.3,-70.603
-406616.2,-69.076
-406494.1,-76.705
-406372.1,-77.272
-406250.0,-71.184
-406127.9,-70.733
-406005.9,-76.759
-405883.8,-75.149
-405761.7,-67.613
-405639.6,-67.158
-405517.6,-75.549
-405395.5,-76.928
-405273.4,-69.495
-405151.4,-69.308
-405029.3,-78.101
-404907.2,-77.202
-404785.2,-72.341
-404663.1,-73.525
-404541.0,-78.901
-404418.9,-73.967
-404296.9,-71.203
-404174.8,-76.071
-404052.7,-79.917
-403930.7,-72.666
-403808.6,-69.924
-403686.5,-74.940
-403564.5,-78.789
-403442.4,-73.381
-403320.3,-70.303
-403198.2,-75.163
-403076.2,-79.009
-402954.1,-72.094
-402832.0,-68.610
-402710.0,-74.211
-402587.9,-77.958
-402465.8,-68.130
-402343.8,-65.550
-402221.7,-73.008
-402099.6,-77.932
-401977.5,-66.768
-401855.5,-64.630
-401733.4,-72.942
-401611.3,-77.316
-401489.3,-70.048
-401367.2,-69.343
-401245.1,-76.844
-401123.0,-76.282
-401001.0,-67.636
-400878.9,-67.437
-400756.8,-75.437
-400634.8,-73.732
-400512.7,-63.789
-400390.6,-63.231
-400268.6,-73.639
-400146.5,-74.797
-400024.4,-67.814
-399902.3,-68.076
-399780.3,-76.981
-399658.2,-72.583
-399536.1,-67.031
-399414.1,-71.037
-399292.0,-79.783
-399169.9,-70.783
-399047.9,-63.764
-398925.8,-67.034
-398803.7,-77.593
-398681.6,-71.594
-398559.6,-66.358
-398437.5,-69.940
-398315.4,-79.331
-398193.4,-70.245
-398071.3,-64.599
-397949.2,-69.126
-397827.1,-79.159
-397705.1,-68.287
-397583.0,-62.456
-397460.9,-67.649
-397338.9,-78.927
-397216.8,-69.413
-397094.7,-65.237
-396972.7,-70.775
-396850.6,-78.020
-396728.5,-69.227
-396606.4,-65.349
-396484.4,-71.567
-396362.3,-77.486
-396240.2,-70.841
-396118.2,-68.351
-395996.1,-74.378
-395874.0,-77.944
-395752.0,-69.290
-395629.9,-67.852
-395507.8,-74.519
-395385.7,-76.158
-395263.7,-68.784
-395141.6,-69.238
-395019.5,-76.028
-394897.5,-74.315
-394775.4,-67.988
-394653.3,-70.019
-394531.2,-77.083
-394409.2,-73.738
-394287.1,-66.822
-394165.0,-69.401
-394043.0,-77.309
-393920.9,-72.954
-393798.8,-65.918
-393676.8,-68.064
-393554.7,-74.394
-393432.6,-72.337
-393310.5,-65.524
-393188.5,-68.490
-393066.4,-77.467
-392944.3,-72.035
-392822.3,-65.574
-392700.2,-69.087
-392578.1,-77.567
-392456.1,-71.952
-392334.0,-67.018
-392211.9,-71.169
-392089.8,-76.840
-391967.8,-71.957
-391845.7,-67.929
-391723.6,-72.492
-391601.6,-76.299
-391479.5,-72.232
-391357.4,-70.526
-391235.4,-74.980
-391113.3,-75.701
-390991.2,-69.714
-390869.1,-69.280
-390747.1,-75.454
-390625.0,-75.719
-390502.9,-68.362
-390380.9,-68.668
-390258.8,-75.908
-390136.7,-75.353
-390014.6,-68.973
-389892.6,-68.903
-389770.5,-75.607
-389648.4,-74.089
-389526.4,-68.694
-389404.3,-69.593
-389282.2,-75.403
-389160.2,-72.291
-389038.1,-65.204
-388916.0,-67.069
-388793.9,-75.596
-388671.9,-71.264
-388549.8,-65.231
-388427.7,-68.488
-388305.7,-77.036
-388183.6,-71.866
-388061.5,-67.554
-387939.5,-71.268
-387817.4,-77.113
-387695.3,-70.179
-387573.2,-65.875
-387451.2,-70.444
-387329.1,-78.416
-387207.0,-68.206
-387085.0,-63.108
-386962.9,-68.135
-386840.8,-76.350
-386718.8,-68.467
-386596.7,-65.369
-386474.6,-71.365
-386352.5,-75.815
-386230.5,-66.000
-386108.4,-65.001
-385986.3,-73.738
-385864.3,-75.336
-385742.2,-63.857
-385620.1,-62.372
-385498.0,-71.518
-385376.0,-75.885
-385253.9,-66.449
-385131.8,-64.538
-385009.8,-72.721
-384887.7,-75.112
-384765.6,-65.721
-384643.6,-64.559
-384521.5,-73.846
-384399.4,-74.049
-384277.3,-63.438
-384155.3,-62.663
-384033.2,-73.462
-383911.1,-74.684
-383789.1,-67.212
-383667.0,-66.828
-383544.9,-75.212
-383422.9,-73.024
-383300.8,-68.202
-383178.7,-70.807
-383056.6,-76.999
-382934.6,-69.657
-382812.5,-64.880
-382690.4,-69.936
-382568.4,-78.151
-382446.3,-67.596
-382324.2,-63.031
-382202.1,-68.524
-382080.1,-77.956
-381958.0,-68.046
-381835.9,-63.928
-381713.9,-69.517
-381591.8,-76.250
-381469.7,-67.759
-381347.7,-63.470
-381225.6,-69.259
-381103.5,-77.044
-380981.4,-66.655
-380859.4,-61.890
-380737.3,-68.076
-380615.2,-78.487
-380493.2,-67.857
-380371.1,-63.576
-380249.0,-69.532
-380127.0,-76.086
-380004.9,-67.657
-379882.8,-66.124
-379760.7,-72.821
-379638.7,-73.998
-379516.6,-66.054
-379394.5,-66.268
-379272.5,-74.908
-379150.4,-75.939
-379028.3,-68.815
-378906.2,-68.624
-378784.2,-74.256
-378662.1,-74.513
-378540.0,-66.992
-378418.0,-67.871
-378295.9,-74.196
-378173.8,-73.050
-378051.8,-65.211
-377929.7,-66.646
-377807.6,-75.315
-377685.5,-71.764
-377563.5,-65.740
-377441.4,-68.798
-377319.3,-76.807
-377197.3,-72.540
-377075.2,-66.512
-376953.1,-69.458
-376831.1,-76.517
-376709.0,-73.429
-376586.9,-68.122
-376464.8,-71.087
-376342.8,-74.728
-376220.7,-69.947
-376098.6,-65.805
-375976.6,-70.418
-375854.5,-76.521
-375732.4,-68.861
-375610.4,-66.021
-375488.3,-71.707
-375366.2,-76.258
-375244.1,-68.534
-375122.1,-67.246
-375000.0,-74.364
-374877.9,-76.901
-374755.9,-69.658
-374633.8,-68.159
-374511.7,-74.316
-374389.6,-75.318
-374267.6,-68.404
-374145.5,-67.134
-374023.4,-73.587
-373901.4,-74.928
-373779.3,-67.645
-373657.2,-66.938
-373535.2,-74.287
-373413.1,-75.109
-373291.0,-69.415
-373168.9,-69.653
-373046.9,-75.468
-372924.8,-73.697
-372802.7,-69.393
-372680.7,-71.657
-372558.6,-75.957
-372436.5,-71.721
-372314.5,-66.773
-372192.4,-69.910
-372070.3,-74.052
-371948.2,-71.457
-371826.2,-67.939
-371704.1,-71.343
-371582.0,-76.223
-371460.0,-71.519
-371337.9,-68.651
-371215.8,-73.325
-371093.8,-77.189
-370971.7,-68.444
-370849.6,-64.933
-370727.5,-70.979
-370605.5,-74.243
-370483.4,-67.802
-370361.3,-65.675
-370239.3,-72.083
-370117.2,-74.073
-369995.1,-66.534
-369873.0,-65.535
-369751.0,-73.665
-369628.9,-75.130
-369506.8,-66.904
-369384.8,-65.591
-369262.7,-73.361
-369140.6,-75.420
-369018.6,-68.078
